fecha,valor
2026-06-26,19.36
2026-06-29,20.11
2026-06-30,20.31
2026-07-01,19.85
2026-07-02,20.32
2026-07-03,20.2
2026-07-06,19.54
2026-07-07,20.27
2026-07-08,20.28
2026-07-13,19.64
2026-07-14,20.37
2026-07-15,21.39
2026-07-16,20.05
2026-07-17,20.14
2026-07-20,20.05
2026-07-21,20.57
2026-07-22,20.73
2026-07-23,21.07
2026-07-24,20.93
2026-07-27,19.59
2026-07-28,20.74
2026-07-29,20.39
2026-07-30,20.61
2026-07-31,19.76
2026-08-03,20.58
2026-08-04,21.45
2026-08-05,19.89
2026-08-06,20.55
2026-08-07,20.46
2026-08-10,20.67
2026-08-11,21.39
2026-08-12,20.04
2026-08-13,20.42
2026-08-14,21.69
2026-08-18,20.93
2026-08-19,21.43
2026-08-20,21.08
2026-08-21,22.3
2026-08-24,21.99
2026-08-25,22.8
2026-08-26,21.07
2026-08-27,22.06
2026-08-28,21.93
2026-08-31,21.37
2026-09-01,21.36
2026-09-02,22.14
2026-09-03,21.82
2026-09-04,20.76
2026-09-07,21.05
2026-09-08,21.66
2026-09-09,21.98
2026-09-10,21.51
2026-09-11,20.59
2026-09-14,20.98
2026-09-15,21.53
2026-09-16,21.4
2026-09-17,20.79
2026-09-18,20.83
2026-09-21,20.93
2026-09-22,21.27
